<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.02.25	0.61670	0.62200	0.61470	0.61520	3734	0	50
2000.02.27	0.61620	0.61620	0.61450	0.61530	102	0	50
2000.02.28	0.61520	0.61550	0.61040	0.61330	3124	0	50
2000.02.29	0.61350	0.61920	0.60820	0.60970	3802	0	50
2000.03.01	0.60990	0.61050	0.60220	0.60590	4842	0	50
2000.03.02	0.60620	0.61150	0.60510	0.60950	4174	0	50
2000.03.03	0.60930	0.61050	0.60520	0.60840	3156	0	50
2000.03.05	0.60820	0.60880	0.60620	0.60670	261	0	50
2000.03.06	0.60650	0.60700	0.60090	0.60130	3482	0	50
2000.03.07	0.60120	0.60600	0.60110	0.60400	3931	0	50
2000.03.08	0.60420	0.61420	0.60260	0.61320	4489	0	50
2000.03.09	0.61350	0.61650	0.61150	0.61290	3997	0	50
2000.03.10	0.61320	0.61650	0.61250	0.61460	2794	0	50
2000.03.12	0.61260	0.61330	0.61170	0.61240	258	0	50
2000.03.13	0.61250	0.61780	0.61130	0.61510	3623	0	50
2000.03.14	0.61500	0.61940	0.61220	0.61350	4028	0	50
2000.03.15	0.61320	0.61600	0.61170	0.61210	3611	0	50
2000.03.16	0.61220	0.61500	0.60820	0.61100	3264	0	50
2000.03.17	0.61090	0.61300	0.60500	0.60700	2988	0	50
2000.03.19	0.60690	0.60750	0.60530	0.60650	401	0	50
2000.03.20	0.60660	0.60970	0.60450	0.60870	3820	0	50
2000.03.21	0.60860	0.61180	0.60760	0.60850	3961	0	50
2000.03.22	0.60840	0.60950	0.60250	0.60370	3780	0	50
2000.03.23	0.60390	0.60670	0.60120	0.60580	4198	0	50
2000.03.24	0.60570	0.60910	0.60520	0.60810	2870	0	50
2000.03.26	0.60870	0.61200	0.60740	0.61100	353	0	50
2000.03.27	0.61120	0.61570	0.61000	0.61550	3771	0	50
2000.03.28	0.61560	0.61660	0.61220	0.61370	4210	0	50
2000.03.29	0.61350	0.61400	0.60720	0.61190	4277	0	50
2000.03.30	0.61180	0.61400	0.60870	0.61270	3573	0	50
2000.03.31	0.61290	0.61320	0.60210	0.60700	3615	0	50
2000.04.02	0.60680	0.60880	0.60650	0.60680	302	0	50
2000.04.03	0.60690	0.61010	0.60570	0.60630	2444	0	50
2000.04.04	0.60620	0.60800	0.60030	0.60670	3816	0	50
2000.04.05	0.60690	0.60720	0.60220	0.60460	3931	0	50
2000.04.06	0.60470	0.60700	0.59900	0.60070	4441	0	50
2000.04.07	0.60050	0.60130	0.59600	0.59700	3473	0	50
2000.04.09	0.59730	0.59830	0.59670	0.59770	277	0	50
2000.04.10	0.59740	0.60000	0.59370	0.59550	2983	0	50
2000.04.11	0.59590	0.59700	0.59350	0.59670	3369	0	50
2000.04.12	0.59680	0.60030	0.59370	0.59990	3577	0	50
2000.04.13	0.59990	0.60050	0.59620	0.59810	3310	0	50
2000.04.14	0.59810	0.59880	0.59570	0.59740	2800	0	50
2000.04.16	0.60270	0.60390	0.60160	0.60300	209	0	50
2000.04.17	0.60250	0.60380	0.58870	0.59320	4080	0	50
2000.04.18	0.59330	0.59700	0.59170	0.59490	4334	0	50
2000.04.19	0.59520	0.59900	0.59470	0.59740	3195	0	50
2000.04.20	0.59750	0.59780	0.59180	0.59240	2908	0	50
2000.04.21	0.59250	0.59450	0.59170	0.59260	756	0	50
2000.04.23	0.59240	0.59330	0.59180	0.59300	110	0	50
2000.04.24	0.59280	0.59590	0.59220	0.59420	1426	0	50
2000.04.25	0.59400	0.59710	0.58940	0.59090	3444	0	50
2000.04.26	0.59080	0.59110	0.58660	0.58800	4304	0	50
2000.04.27	0.58800	0.59100	0.58610	0.58780	3551	0	50
2000.04.28	0.58770	0.59110	0.58220	0.58360	4013	0	50
2000.04.30	0.58390	0.58390	0.57970	0.58060	126	0	50
2000.05.01	0.58040	0.58350	0.57890	0.58290	2272	0	50
2000.05.02	0.58270	0.58850	0.58230	0.58750	3888	0	50
2000.05.03	0.58760	0.59450	0.58620	0.59100	4384	0	50
2000.05.04	0.59130	0.59270	0.58620	0.59220	4083	0	50
2000.05.05	0.59240	0.59750	0.59070	0.59620	3591	0	50
2000.05.07	0.59590	0.59700	0.59440	0.59540	241	0	50
2000.05.08	0.59520	0.59600	0.58010	0.58360	4793	0	50
2000.05.09	0.58350	0.58580	0.57650	0.58260	4351	0	50
2000.05.10	0.58270	0.58600	0.57970	0.58140	3894	0	50
2000.05.11	0.58160	0.58470	0.57470	0.57950	4826	0	50
2000.05.12	0.57900	0.58150	0.57720	0.58000	3555	0	50
2000.05.14	0.58350	0.58350	0.58080	0.58120	174	0	50
2000.05.15	0.58130	0.58150	0.57120	0.57260	3455	0	50
2000.05.16	0.57270	0.57860	0.57240	0.57500	3404	0	50
2000.05.17	0.57530	0.57540	0.56570	0.56860	3880	0	50
2000.05.18	0.56850	0.57400	0.56470	0.56840	4639	0	50
2000.05.19	0.56820	0.57640	0.56720	0.57360	4014	0	50
2000.05.21	0.57240	0.57310	0.57120	0.57140	255	0	50
2000.05.22	0.57130	0.57620	0.56840	0.57290	3837	0	50
2000.05.23	0.57320	0.57810	0.57040	0.57140	3959	0	50
2000.05.24	0.57130	0.57350	0.56920	0.57160	3746	0	50
2000.05.25	0.57150	0.57350	0.56670	0.56810	4191	0	50
2000.05.26	0.56810	0.57550	0.56630	0.57450	3237	0	50
2000.05.28	0.57410	0.57530	0.57350	0.57480	255	0	50
2000.05.29	0.57490	0.57530	0.57120	0.57390	2227	0	50
2000.05.30	0.57370	0.58050	0.57310	0.57630	4559	0	50
2000.05.31	0.57620	0.57660	0.56940	0.57200	4052	0	50
2000.06.01	0.57170	0.57450	0.56840	0.57090	3236	0	50
2000.06.02	0.57080	0.58300	0.56960	0.57830	3347	0	50
2000.06.04	0.58120	0.58160	0.57770	0.57840	307	0	50
2000.06.05	0.57850	0.58530	0.57850	0.58010	3880	0	50
2000.06.06	0.58030	0.59150	0.57900	0.59060	3983	0	50
2000.06.07	0.59050	0.59400	0.58720	0.59070	4300	0	50
2000.06.08	0.59080	0.59380	0.58580	0.58710	3964	0	50
2000.06.09	0.58700	0.58850	0.58500	0.58790	3025	0	50
2000.06.11	0.58710	0.58810	0.58570	0.58720	167	0	50
2000.06.12	0.58730	0.59240	0.58670	0.58930	3167	0	50
2000.06.13	0.58870	0.60000	0.58820	0.59670	4007	0	50
2000.06.14	0.59660	0.60400	0.59620	0.60050	4411	0	50
